Date.Time,Creek,RUN1_Pool,RUN1_GW,NAC1,REF
6/21/2023 0:00,0.768,1.115,1.22,1.5,1.595
6/21/2023 0:10,0.873,1.115,1.217,1.499,1.592
6/21/2023 0:20,0.985,1.116,1.221,1.501,1.595
6/21/2023 0:30,1.072,1.116,1.219,1.502,1.594
6/21/2023 0:40,1.138,1.118,1.218,1.499,1.594
6/21/2023 0:50,1.214,1.119,1.22,1.5,1.593
6/21/2023 1:00,1.267,1.142,1.22,1.501,1.595
6/21/2023 1:10,1.308,1.175,1.219,1.5,1.594
6/21/2023 1:20,1.353,1.197,1.219,1.5,1.593
6/21/2023 1:30,1.374,1.232,1.221,1.499,1.593
6/21/2023 1:40,1.399,1.263,1.221,1.5,1.593
6/21/2023 1:50,1.414,1.292,1.225,1.501,1.593
6/21/2023 2:00,1.413,1.315,1.227,1.499,1.594
6/21/2023 2:10,1.41,1.331,1.237,1.5,1.592
6/21/2023 2:20,1.394,1.344,1.255,1.498,1.592
6/21/2023 2:30,1.369,1.351,1.309,1.5,1.592
6/21/2023 2:40,1.341,1.353,1.332,1.5,1.592
6/21/2023 2:50,1.3,1.345,1.335,1.499,1.593
6/21/2023 3:00,1.258,1.337,1.329,1.499,1.593
6/21/2023 3:10,1.201,1.322,1.318,1.498,1.593
6/21/2023 3:20,1.137,1.308,1.31,1.5,1.594
6/21/2023 3:30,1.064,1.291,1.298,1.497,1.591
6/21/2023 3:40,0.988,1.277,1.291,1.499,1.593
6/21/2023 3:50,0.907,1.26,1.287,1.498,1.592
6/21/2023 4:00,0.829,1.245,1.287,1.5,1.594
6/21/2023 4:10,0.75,1.229,1.284,1.5,1.592
6/21/2023 4:20,0.67,1.215,1.282,1.5,1.592
6/21/2023 4:30,0.583,1.201,1.278,1.499,1.593
6/21/2023 4:40,0.499,1.187,1.271,1.498,1.592
6/21/2023 4:50,0.417,1.179,1.268,1.498,1.592
6/21/2023 5:00,0.333,1.174,1.27,1.5,1.594
6/21/2023 5:10,0.251,1.168,1.268,1.498,1.592
6/21/2023 5:20,0.169,1.164,1.265,1.497,1.591
6/21/2023 5:30,0.085,1.158,1.264,1.498,1.593
6/21/2023 5:40,0.002,1.154,1.262,1.496,1.59
6/21/2023 5:50,-0.062,1.153,1.261,1.499,1.591
6/21/2023 6:00,-0.084,1.15,1.26,1.496,1.589
6/21/2023 6:10,-0.093,1.148,1.257,1.497,1.591
6/21/2023 6:20,-0.099,1.144,1.256,1.496,1.591
6/21/2023 6:30,-0.103,1.145,1.254,1.497,1.589
6/21/2023 6:40,-0.105,1.141,1.25,1.496,1.59
6/21/2023 6:50,-0.108,1.141,1.25,1.496,1.588
6/21/2023 7:00,-0.108,1.138,1.245,1.494,1.587
6/21/2023 7:10,-0.106,1.135,1.245,1.494,1.587
6/21/2023 7:20,-0.107,1.135,1.242,1.493,1.585
6/21/2023 7:30,-0.105,1.135,1.242,1.495,1.586
6/21/2023 7:40,-0.106,1.133,1.24,1.494,1.587
6/21/2023 7:50,-0.108,1.13,1.239,1.491,1.585
6/21/2023 8:00,-0.108,1.129,1.235,1.491,1.585
6/21/2023 8:10,-0.109,1.128,1.235,1.492,1.585
6/21/2023 8:20,-0.106,1.129,1.234,1.492,1.584
6/21/2023 8:30,-0.108,1.124,1.232,1.49,1.584
6/21/2023 8:40,-0.109,1.121,1.23,1.489,1.581
6/21/2023 8:50,-0.113,1.121,1.231,1.485,1.581
6/21/2023 9:00,-0.112,1.12,1.228,1.487,1.579
6/21/2023 9:10,-0.108,1.122,1.23,1.489,1.582
6/21/2023 9:20,-0.106,1.121,1.229,1.49,1.582
6/21/2023 9:30,-0.102,1.121,1.227,1.487,1.583
6/21/2023 9:40,-0.103,1.123,1.228,1.489,1.581
6/21/2023 9:50,-0.101,1.123,1.227,1.49,1.581
6/21/2023 10:00,-0.101,1.123,1.225,1.49,1.581
6/21/2023 10:10,-0.101,1.118,1.224,1.488,1.579
6/21/2023 10:20,-0.103,1.118,1.223,1.487,1.578
6/21/2023 10:30,-0.102,1.12,1.225,1.489,1.581
6/21/2023 10:40,-0.103,1.118,1.222,1.487,1.578
6/21/2023 10:50,-0.102,1.119,1.222,1.487,1.578
6/21/2023 11:00,-0.101,1.119,1.223,1.487,1.581
6/21/2023 11:10,-0.104,1.12,1.22,1.485,1.578
6/21/2023 11:20,-0.102,1.118,1.219,1.485,1.579
6/21/2023 11:30,-0.101,1.117,1.219,1.485,1.579
6/21/2023 11:40,-0.102,1.117,1.215,1.484,1.578
6/21/2023 11:50,-0.101,1.117,1.226,1.484,1.578
6/21/2023 12:00,-0.101,1.117,1.218,1.487,1.578
6/21/2023 12:10,-0.074,1.119,1.218,1.487,1.578
6/21/2023 12:20,0.043,1.119,1.216,1.489,1.579
6/21/2023 12:30,0.145,1.116,1.214,1.486,1.577
6/21/2023 12:40,0.263,1.114,1.21,1.486,1.577
6/21/2023 12:50,0.376,1.116,1.21,1.486,1.579
6/21/2023 13:00,0.482,1.113,1.208,1.483,1.574
6/21/2023 13:10,0.588,1.114,1.208,1.485,1.577
6/21/2023 13:20,0.681,1.115,1.209,1.486,1.576
6/21/2023 13:30,0.772,1.115,1.207,1.485,1.577
6/21/2023 13:40,0.837,1.112,1.205,1.481,1.575
6/21/2023 13:50,0.903,1.111,1.205,1.483,1.575
6/21/2023 14:00,0.942,1.113,1.205,1.482,1.576
6/21/2023 14:10,0.976,1.11,1.202,1.482,1.574
6/21/2023 14:20,0.994,1.111,1.205,1.483,1.577
6/21/2023 14:30,1.002,1.108,1.202,1.48,1.572
6/21/2023 14:40,0.994,1.109,1.2,1.481,1.573
6/21/2023 14:50,0.983,1.11,1.201,1.481,1.573
6/21/2023 15:00,0.964,1.107,1.198,1.479,1.57
6/21/2023 15:10,0.947,1.107,1.199,1.479,1.569
6/21/2023 15:20,0.925,1.105,1.2,1.48,1.569
6/21/2023 15:30,0.889,1.108,1.2,1.481,1.57
6/21/2023 15:40,0.851,1.107,1.198,1.478,1.57
6/21/2023 15:50,0.804,1.106,1.198,1.478,1.57
6/21/2023 16:00,0.751,1.106,1.199,1.477,1.569
6/21/2023 16:10,0.702,1.108,1.199,1.479,1.569
6/21/2023 16:20,0.64,1.107,1.197,1.476,1.569
6/21/2023 16:30,0.584,1.107,1.199,1.479,1.571
6/21/2023 16:40,0.513,1.105,1.198,1.478,1.567
6/21/2023 16:50,0.448,1.105,1.2,1.477,1.567
6/21/2023 17:00,0.383,1.103,1.195,1.477,1.565
6/21/2023 17:10,0.317,1.105,1.199,1.476,1.567
6/21/2023 17:20,0.245,1.105,1.199,1.475,1.566
6/21/2023 17:30,0.184,1.104,1.198,1.476,1.566
6/21/2023 17:40,0.119,1.103,1.198,1.475,1.567
6/21/2023 17:50,0.05,1.105,1.2,1.475,1.565
