Date.Time,Creek,RUN2_GW,RUN2_Pool,NAC2_GW,Ditch1_GW
6/21/2023 12:30,0.06,1.514,1.328,1.432,1.25
6/21/2023 12:40,0.185,1.514,1.329,1.42,1.25
6/21/2023 12:50,0.312,1.518,1.33,1.421,1.252
6/21/2023 13:00,0.42,1.516,1.33,1.419,1.25
6/21/2023 13:10,0.523,1.518,1.331,1.421,1.252
6/21/2023 13:20,0.618,1.517,1.331,1.42,1.253
6/21/2023 13:30,0.707,1.516,1.332,1.42,1.252
6/21/2023 13:40,0.784,1.514,1.329,1.416,1.25
6/21/2023 13:50,0.839,1.513,1.33,1.416,1.25
6/21/2023 14:00,0.89,1.515,1.333,1.418,1.254
6/21/2023 14:10,0.916,1.513,1.33,1.416,1.254
6/21/2023 14:20,0.948,1.516,1.334,1.416,1.255
6/21/2023 14:30,0.952,1.513,1.332,1.413,1.253
6/21/2023 14:40,0.943,1.513,1.331,1.414,1.255
6/21/2023 14:50,0.927,1.514,1.333,1.415,1.256
6/21/2023 15:00,0.926,1.511,1.329,1.412,1.253
6/21/2023 15:10,0.891,1.512,1.331,1.413,1.252
6/21/2023 15:20,0.865,1.509,1.331,1.411,1.251
6/21/2023 15:30,0.85,1.512,1.333,1.411,1.251
6/21/2023 15:40,0.798,1.51,1.335,1.413,1.252
6/21/2023 15:50,0.755,1.511,1.333,1.411,1.248
6/21/2023 16:00,0.701,1.51,1.333,1.413,1.249
6/21/2023 16:10,0.646,1.512,1.333,1.413,1.247
6/21/2023 16:20,0.592,1.51,1.332,1.41,1.246
6/21/2023 16:30,0.528,1.51,1.335,1.415,1.248
6/21/2023 16:40,0.465,1.509,1.333,1.414,1.243
6/21/2023 16:50,0.392,1.509,1.333,1.412,1.243
6/21/2023 17:00,0.332,1.508,1.333,1.411,1.24
6/21/2023 17:10,0.267,1.511,1.335,1.413,1.24
6/21/2023 17:20,0.201,1.51,1.334,1.413,1.239
6/21/2023 17:30,0.125,1.511,1.334,1.414,1.238
6/21/2023 17:40,0.067,1.509,1.334,1.414,1.237
6/21/2023 17:50,0.006,1.51,1.335,1.414,1.239
6/21/2023 18:00,-0.059,1.508,1.334,1.413,1.237
6/21/2023 18:10,-0.115,1.509,1.335,1.415,1.234
