Date.Time,Creek,Ditch2_GW,Ditch3_GW,RUN3_GW,RUN3_Pool,NAC3_GW
6/21/2023 12:30,0.309,1.045,1.142,1.329,1.303,1.313
6/21/2023 12:40,0.308,1.042,1.138,1.327,1.3,1.31
6/21/2023 12:50,0.321,1.041,1.136,1.327,1.302,1.31
6/21/2023 13:00,0.445,1.039,1.134,1.326,1.3,1.307
6/21/2023 13:10,0.555,1.04,1.136,1.327,1.301,1.307
6/21/2023 13:20,0.649,1.043,1.135,1.336,1.309,1.306
6/21/2023 13:30,0.742,1.043,1.132,1.334,1.308,1.321
6/21/2023 13:40,0.8,1.039,1.127,1.327,1.304,1.313
6/21/2023 13:50,0.87,1.039,1.127,1.324,1.305,1.306
6/21/2023 14:00,0.912,1.041,1.127,1.324,1.305,1.304
6/21/2023 14:10,0.945,1.04,1.124,1.32,1.304,1.3
6/21/2023 14:20,0.961,1.04,1.122,1.321,1.307,1.3
6/21/2023 14:30,0.979,1.038,1.119,1.316,1.303,1.299
6/21/2023 14:40,0.95,1.038,1.119,1.318,1.307,1.297
6/21/2023 14:50,0.965,1.038,1.115,1.319,1.306,1.296
6/21/2023 15:00,0.932,1.033,1.111,1.312,1.305,1.291
6/21/2023 15:10,0.911,1.033,1.109,1.315,1.304,1.291
6/21/2023 15:20,0.899,1.029,1.105,1.311,1.304,1.29
6/21/2023 15:30,0.854,1.027,1.105,1.313,1.306,1.29
6/21/2023 15:40,0.833,1.028,1.102,1.31,1.307,1.29
6/21/2023 15:50,0.769,1.022,1.097,1.311,1.306,1.289
6/21/2023 16:00,0.725,1.021,1.095,1.31,1.306,1.286
6/21/2023 16:10,0.678,1.019,1.092,1.308,1.307,1.287
6/21/2023 16:20,0.606,1.017,1.092,1.309,1.305,1.285
6/21/2023 16:30,0.559,1.017,1.091,1.309,1.307,1.283
6/21/2023 16:40,0.481,1.013,1.087,1.308,1.306,1.282
6/21/2023 16:50,0.422,1.012,1.087,1.306,1.305,1.284
6/21/2023 17:00,0.366,1.007,1.084,1.303,1.306,1.281
6/21/2023 17:10,0.356,1.008,1.084,1.305,1.306,1.281
6/21/2023 17:20,0.347,1.005,1.083,1.304,1.307,1.281
6/21/2023 17:30,0.336,1.005,1.082,1.301,1.307,1.282
6/21/2023 17:40,0.32,1.004,1.081,1.303,1.306,1.28
6/21/2023 17:50,0.311,1.003,1.079,1.303,1.307,1.281
6/21/2023 18:00,0.307,1.002,1.08,1.302,1.304,1.281
6/21/2023 18:10,0.305,1.002,1.078,1.302,1.303,1.281
6/21/2023 18:20,0.306,1.001,1.078,1.302,1.304,1.281
6/21/2023 18:30,0.305,0.999,1.077,1.301,1.302,1.279
6/21/2023 18:40,0.305,1,1.075,1.304,1.302,1.282
6/21/2023 18:50,0.303,0.999,1.075,1.302,1.301,1.281
6/21/2023 19:00,0.305,0.998,1.074,1.3,1.301,1.282
6/21/2023 19:10,0.305,0.998,1.074,1.301,1.301,1.285
6/21/2023 19:20,0.304,0.997,1.073,1.3,1.301,1.284
6/21/2023 19:30,0.305,0.997,1.072,1.3,1.299,1.285
6/21/2023 19:40,0.304,0.998,1.073,1.301,1.301,1.287
6/21/2023 19:50,0.305,0.998,1.072,1.302,1.301,1.288
6/21/2023 20:00,0.306,0.998,1.072,1.302,1.302,1.289
