Date.Time,Creek1,RUN2_GW,RUN2_Pool,NAC2_GW,Ditch1_GW,Creek2,RUN1_Pool,RUN1_GW,NAC1_GW,REF_GW,Creek3,Ditch2_GW,Ditch3_GW,RUN3_GW,RUN3_Pool,NAC3_GW
6/21/2023 12:30,0.06,1.514,1.328,1.432,1.25,0.145,1.116,1.214,1.486,1.577,0.309,1.045,1.142,1.329,1.303,1.313
6/21/2023 12:40,0.185,1.514,1.329,1.42,1.25,0.263,1.114,1.21,1.486,1.577,0.308,1.042,1.138,1.327,1.3,1.31
6/21/2023 12:50,0.312,1.518,1.33,1.421,1.252,0.376,1.116,1.21,1.486,1.579,0.321,1.041,1.136,1.327,1.302,1.31
6/21/2023 13:00,0.42,1.516,1.33,1.419,1.25,0.482,1.113,1.208,1.483,1.574,0.445,1.039,1.134,1.326,1.3,1.307
6/21/2023 13:10,0.523,1.518,1.331,1.421,1.252,0.588,1.114,1.208,1.485,1.577,0.555,1.04,1.136,1.327,1.301,1.307
6/21/2023 13:20,0.618,1.517,1.331,1.42,1.253,0.681,1.115,1.209,1.486,1.576,0.649,1.043,1.135,1.336,1.309,1.306
6/21/2023 13:30,0.707,1.516,1.332,1.42,1.252,0.772,1.115,1.207,1.485,1.577,0.742,1.043,1.132,1.334,1.308,1.321
6/21/2023 13:40,0.784,1.514,1.329,1.416,1.25,0.837,1.112,1.205,1.481,1.575,0.8,1.039,1.127,1.327,1.304,1.313
6/21/2023 13:50,0.839,1.513,1.33,1.416,1.25,0.903,1.111,1.205,1.483,1.575,0.87,1.039,1.127,1.324,1.305,1.306
6/21/2023 14:00,0.89,1.515,1.333,1.418,1.254,0.942,1.113,1.205,1.482,1.576,0.912,1.041,1.127,1.324,1.305,1.304
6/21/2023 14:10,0.916,1.513,1.33,1.416,1.254,0.976,1.11,1.202,1.482,1.574,0.945,1.04,1.124,1.32,1.304,1.3
6/21/2023 14:20,0.948,1.516,1.334,1.416,1.255,0.994,1.111,1.205,1.483,1.577,0.961,1.04,1.122,1.321,1.307,1.3
6/21/2023 14:30,0.952,1.513,1.332,1.413,1.253,1.002,1.108,1.202,1.48,1.572,0.979,1.038,1.119,1.316,1.303,1.299
