WLR,Area,Associated_Creek,Marsh_Elevation,Rootzone_Elevation
RUN1_Pool,Area 1,Creek1,0.881,0.831
RUN1_GW,Area 1,Creek1,1.265,1.215
NAC1_GW,Area 1,Creek1,1.391,1.341
REF_GW,Area 1,Creek1,1.45,1.4
RUN2_GW,Area 2,Creek2,1.518,1.468
RUN2_Pool,Area 2,Creek2,1.093,1.043
NAC2_GW,Area 2,Creek2,1.494,1.444
Ditch1_GW,Area 2,Creek2,1.282,1.232
Ditch2_GW,Area 3,Creek3,1.221,1.171
Ditch3_GW,Area 3,Creek3,1.263,1.213
RUN3_GW,Area 3,Creek3,1.436,1.386
RUN3_Pool,Area 3,Creek3,0.967,0.917
NAC3_GW,Area 3,Creek3,1.345,1.295
