Date.Time,Creek3,RUN3_GW,RUN3_Pool,Ditch3_GW,NAC3_GW
10/16/2020 0:00,1.602,1.627,1.567,1.619,1.582
10/16/2020 0:10,1.56,1.589,1.529,1.583,1.536
10/16/2020 0:20,1.512,1.552,1.493,1.543,1.49
10/16/2020 0:30,1.456,1.512,1.461,1.5,1.44
10/16/2020 0:40,1.389,1.487,1.442,1.457,1.415
10/16/2020 0:50,1.29,1.468,1.432,1.399,1.41
10/16/2020 1:00,1.143,1.457,1.427,1.329,1.41
10/16/2020 1:10,0.971,1.449,1.42,1.272,1.408
10/16/2020 1:20,0.81,1.45,1.419,1.265,1.41
10/16/2020 1:30,0.663,1.45,1.418,1.26,1.406
10/16/2020 1:40,0.532,1.447,1.414,1.258,1.406
10/16/2020 1:50,0.418,1.447,1.414,1.258,1.406
10/16/2020 2:00,0.307,1.447,1.413,1.258,1.405
10/16/2020 2:10,0.201,1.447,1.412,1.258,1.405
10/16/2020 2:20,0.098,1.445,1.41,1.256,1.402
10/16/2020 2:30,0.006,1.447,1.408,1.256,1.404
10/16/2020 2:40,-0.079,1.443,1.406,1.254,1.403
10/16/2020 2:50,-0.151,1.446,1.405,1.254,1.403
10/16/2020 3:00,-0.197,1.444,1.403,1.253,1.401
10/16/2020 3:10,-0.231,1.444,1.405,1.253,1.402
10/16/2020 3:20,-0.246,1.447,1.406,1.256,1.403
10/16/2020 3:30,-0.259,1.443,1.402,1.252,1.401
10/16/2020 3:40,-0.266,1.442,1.402,1.252,1.399
10/16/2020 3:50,-0.271,1.443,1.401,1.252,1.401
10/16/2020 4:00,-0.278,1.443,1.399,1.251,1.4
10/16/2020 4:10,-0.285,1.443,1.395,1.25,1.399
10/16/2020 4:20,-0.29,1.441,1.397,1.25,1.4
10/16/2020 4:30,-0.297,1.443,1.397,1.25,1.4
10/16/2020 4:40,-0.303,1.441,1.395,1.247,1.398
10/16/2020 4:50,-0.31,1.441,1.394,1.249,1.398
10/16/2020 5:00,-0.316,1.439,1.393,1.247,1.398
10/16/2020 5:10,-0.322,1.441,1.393,1.246,1.398
10/16/2020 5:20,-0.325,1.444,1.395,1.249,1.4
10/16/2020 5:30,-0.332,1.441,1.391,1.247,1.399
10/16/2020 5:40,-0.34,1.441,1.389,1.245,1.399
10/16/2020 5:50,-0.348,1.441,1.39,1.247,1.399
10/16/2020 6:00,-0.356,1.441,1.389,1.245,1.396
10/16/2020 6:10,-0.361,1.44,1.388,1.245,1.397
10/16/2020 6:20,-0.37,1.44,1.386,1.245,1.397
10/16/2020 6:30,-0.376,1.442,1.385,1.243,1.397
10/16/2020 6:40,-0.384,1.441,1.386,1.244,1.4
