Date.Time,Creek1 ,Creek2,RUN1_Pool,RUN1_GW,Ditch1_GW,RUN2_Pool,RUN2_GW,NAC2_GW,Ditch2_GW
9/14/2020 3:30,0.02,-0.564,1.072,1.201,1.212,1.559,1.57,1.257,1.16
9/14/2020 3:40,0.022,-0.564,1.071,1.201,1.21,1.557,1.571,1.257,1.149
9/14/2020 3:50,0.02,-0.567,1.069,1.2,1.207,1.557,1.568,1.255,1.149
9/14/2020 4:00,0.021,-0.568,1.07,1.2,1.207,1.556,1.569,1.254,1.149
9/14/2020 4:10,0.02,-0.571,1.068,1.2,1.204,1.556,1.567,1.254,1.149
9/14/2020 4:20,0.019,-0.573,1.069,1.199,1.201,1.554,1.567,1.252,1.149
9/14/2020 4:30,0.022,-0.572,1.072,1.203,1.202,1.559,1.57,1.254,1.149
9/14/2020 4:40,0.022,-0.571,1.072,1.201,1.201,1.559,1.571,1.256,1.149
9/14/2020 4:50,0.021,-0.572,1.069,1.199,1.2,1.558,1.571,1.255,1.149
9/14/2020 5:00,0.021,-0.574,1.069,1.199,1.196,1.556,1.569,1.255,1.149
9/14/2020 5:10,0.021,-0.574,1.069,1.201,1.197,1.557,1.57,1.255,1.149
9/14/2020 5:20,0.023,-0.575,1.069,1.203,1.193,1.556,1.571,1.257,1.149
9/14/2020 5:30,0.022,-0.575,1.069,1.201,1.193,1.558,1.57,1.257,1.149
9/14/2020 5:40,0.021,-0.577,1.069,1.2,1.19,1.556,1.57,1.255,1.149
9/14/2020 5:50,0.021,-0.578,1.068,1.201,1.189,1.558,1.57,1.255,1.149
9/14/2020 6:00,0.021,-0.551,1.068,1.199,1.187,1.56,1.571,1.256,1.149
9/14/2020 6:10,0.024,-0.44,1.07,1.201,1.187,1.56,1.57,1.256,1.149
9/14/2020 6:20,0.021,-0.333,1.071,1.201,1.187,1.558,1.571,1.256,1.149
9/14/2020 6:30,0.023,-0.231,1.07,1.201,1.185,1.558,1.571,1.256,1.149
9/14/2020 6:40,0.023,-0.126,1.069,1.201,1.184,1.56,1.572,1.257,1.149
9/14/2020 6:50,0.022,-0.006,1.066,1.198,1.179,1.557,1.569,1.254,1.149
9/14/2020 7:00,0.139,0.112,1.07,1.2,1.179,1.558,1.572,1.255,1.149
9/14/2020 7:10,0.244,0.215,1.068,1.198,1.174,1.557,1.568,1.253,1.149
9/14/2020 7:20,0.368,0.34,1.068,1.198,1.177,1.556,1.57,1.253,1.149
9/14/2020 7:30,0.471,0.441,1.067,1.197,1.174,1.558,1.569,1.253,1.149
9/14/2020 7:40,0.588,0.562,1.07,1.197,1.173,1.556,1.569,1.254,1.149
9/14/2020 7:50,0.681,0.644,1.068,1.198,1.173,1.557,1.57,1.253,1.149
9/14/2020 8:00,0.773,0.747,1.068,1.198,1.172,1.555,1.568,1.252,1.149
9/14/2020 8:10,0.85,0.82,1.067,1.196,1.169,1.554,1.566,1.25,1.149
9/14/2020 8:20,0.921,0.888,1.069,1.198,1.171,1.555,1.57,1.252,1.149
9/14/2020 8:30,0.973,0.922,1.066,1.197,1.169,1.554,1.568,1.252,1.149
9/14/2020 8:40,1.006,0.983,1.067,1.198,1.169,1.553,1.567,1.251,1.149
9/14/2020 8:50,1.039,1.007,1.07,1.195,1.17,1.554,1.568,1.25,1.149
9/14/2020 9:00,1.057,1.023,1.066,1.193,1.168,1.552,1.565,1.249,1.149
9/14/2020 9:10,1.042,1.007,1.068,1.196,1.169,1.555,1.568,1.25,1.149
9/14/2020 9:20,1.037,1.014,1.066,1.192,1.167,1.553,1.564,1.25,1.149
9/14/2020 9:30,1.028,0.988,1.07,1.195,1.169,1.554,1.567,1.251,1.149
9/14/2020 9:40,0.997,0.971,1.068,1.194,1.167,1.553,1.566,1.25,1.149
9/14/2020 9:50,0.979,0.961,1.069,1.192,1.168,1.555,1.567,1.249,1.149
9/14/2020 10:00,0.95,0.911,1.069,1.189,1.166,1.552,1.566,1.247,1.149
9/14/2020 10:10,0.921,0.901,1.067,1.189,1.163,1.552,1.564,1.246,1.149
9/14/2020 10:20,0.885,0.849,1.069,1.19,1.166,1.553,1.565,1.247,1.149
9/14/2020 10:30,0.824,0.786,1.067,1.184,1.161,1.549,1.564,1.245,1.149
9/14/2020 10:40,0.781,0.772,1.068,1.185,1.158,1.551,1.562,1.244,1.149
9/14/2020 10:50,0.726,0.685,1.069,1.184,1.157,1.551,1.562,1.244,1.149
9/14/2020 11:00,0.646,0.623,1.067,1.182,1.158,1.553,1.562,1.246,1.149
9/14/2020 11:10,0.602,0.579,1.071,1.184,1.158,1.555,1.565,1.246,1.149
9/14/2020 11:20,0.518,0.491,1.071,1.183,1.156,1.553,1.568,1.247,1.149
9/14/2020 11:30,0.441,0.424,1.069,1.179,1.156,1.553,1.563,1.243,1.149
9/14/2020 11:40,0.372,0.344,1.067,1.178,1.155,1.55,1.56,1.242,1.149
9/14/2020 11:50,0.294,0.264,1.069,1.178,1.151,1.552,1.562,1.242,1.149
9/14/2020 12:00,0.215,0.188,1.067,1.179,1.152,1.552,1.561,1.243,1.149
9/14/2020 12:10,0.139,0.109,1.068,1.177,1.152,1.552,1.561,1.242,1.149
9/14/2020 12:20,0.064,0.038,1.069,1.175,1.15,1.554,1.562,1.241,1.149
9/14/2020 12:30,0.016,-0.043,1.067,1.174,1.147,1.551,1.561,1.24,1.149
9/14/2020 12:40,0.018,-0.116,1.066,1.175,1.147,1.551,1.562,1.241,1.149
9/14/2020 12:50,0.015,-0.186,1.067,1.172,1.146,1.551,1.56,1.238,1.149
9/14/2020 13:00,0.018,-0.257,1.067,1.173,1.147,1.553,1.559,1.239,1.149
9/14/2020 13:10,0.017,-0.332,1.063,1.173,1.147,1.553,1.559,1.24,1.149
9/14/2020 13:20,0.019,-0.408,1.066,1.172,1.147,1.553,1.559,1.24,1.149
9/14/2020 13:30,0.018,-0.469,1.065,1.169,1.145,1.553,1.558,1.237,1.149
9/14/2020 13:40,0.016,-0.526,1.062,1.169,1.145,1.552,1.558,1.237,1.149
9/14/2020 13:50,0.018,-0.562,1.063,1.167,1.141,1.552,1.559,1.236,1.149
9/14/2020 14:00,0.017,-0.577,1.063,1.165,1.141,1.55,1.557,1.236,1.149
9/14/2020 14:10,0.018,-0.584,1.067,1.166,1.142,1.555,1.56,1.237,1.149
9/14/2020 14:20,0.017,-0.589,1.062,1.165,1.143,1.552,1.557,1.236,1.149
9/14/2020 14:30,0.018,-0.591,1.064,1.163,1.143,1.554,1.558,1.238,1.149
9/14/2020 14:40,0.018,-0.593,1.064,1.163,1.141,1.553,1.558,1.237,1.149
9/14/2020 14:50,0.018,-0.595,1.061,1.161,1.142,1.551,1.557,1.237,1.149
9/14/2020 15:00,0.018,-0.597,1.061,1.163,1.141,1.553,1.558,1.236,1.149
9/14/2020 15:10,0.017,-0.597,1.061,1.161,1.14,1.553,1.558,1.235,1.149
9/14/2020 15:20,0.017,-0.597,1.062,1.161,1.138,1.553,1.557,1.235,1.149
9/14/2020 15:30,0.018,-0.598,1.062,1.161,1.14,1.553,1.557,1.235,1.149
9/14/2020 15:40,0.017,-0.599,1.062,1.159,1.139,1.554,1.556,1.234,1.149
9/14/2020 15:50,0.017,-0.599,1.063,1.158,1.137,1.552,1.558,1.236,1.149
9/14/2020 16:00,0.015,-0.601,1.061,1.159,1.138,1.553,1.556,1.233,1.149
9/14/2020 16:10,0.017,-0.603,1.061,1.159,1.138,1.553,1.558,1.233,1.149
9/14/2020 16:20,0.015,-0.605,1.062,1.156,1.137,1.552,1.556,1.232,1.149
9/14/2020 16:30,0.018,-0.603,1.062,1.158,1.139,1.553,1.558,1.234,1.149
9/14/2020 16:40,0.019,-0.604,1.062,1.159,1.14,1.555,1.559,1.235,1.149
9/14/2020 16:50,0.019,-0.602,1.062,1.158,1.137,1.555,1.559,1.234,1.149
9/14/2020 17:00,0.019,-0.602,1.063,1.158,1.139,1.556,1.56,1.236,1.149
9/14/2020 17:10,0.019,-0.605,1.063,1.155,1.14,1.555,1.56,1.235,1.149
9/14/2020 17:20,0.019,-0.605,1.063,1.156,1.137,1.554,1.559,1.234,1.149
9/14/2020 17:30,0.018,-0.607,1.059,1.154,1.137,1.552,1.557,1.233,1.149
9/14/2020 17:40,0.021,-0.605,1.063,1.158,1.137,1.555,1.56,1.235,1.149
9/14/2020 17:50,0.018,-0.593,1.061,1.157,1.137,1.555,1.56,1.235,1.149
9/14/2020 18:00,0.02,-0.488,1.063,1.157,1.138,1.556,1.562,1.235,1.149
9/14/2020 18:10,0.019,-0.365,1.063,1.158,1.136,1.556,1.563,1.235,1.149
9/14/2020 18:20,0.021,-0.252,1.063,1.156,1.14,1.555,1.563,1.236,1.149
9/14/2020 18:30,0.02,-0.143,1.064,1.157,1.138,1.558,1.565,1.237,1.149
9/14/2020 18:40,0.021,-0.022,1.064,1.155,1.138,1.558,1.563,1.235,1.149
9/14/2020 18:50,0.14,0.107,1.063,1.158,1.138,1.557,1.563,1.237,1.149
9/14/2020 19:00,0.277,0.246,1.067,1.16,1.14,1.559,1.567,1.238,1.149
9/14/2020 19:10,0.411,0.377,1.066,1.16,1.14,1.558,1.568,1.238,1.149
9/14/2020 19:20,0.556,0.526,1.065,1.159,1.139,1.558,1.568,1.238,1.149
9/14/2020 19:30,0.677,0.64,1.066,1.159,1.141,1.558,1.567,1.239,1.149
9/14/2020 19:40,0.799,0.772,1.064,1.157,1.137,1.557,1.565,1.236,1.149
9/14/2020 19:50,0.922,0.878,1.067,1.159,1.141,1.558,1.566,1.239,1.149
9/14/2020 20:00,1.027,0.99,1.066,1.16,1.139,1.557,1.567,1.238,1.149
9/14/2020 20:10,1.125,1.074,1.067,1.158,1.14,1.558,1.566,1.241,1.149
9/14/2020 20:20,1.191,1.146,1.07,1.159,1.139,1.559,1.569,1.239,1.149
9/14/2020 20:30,1.263,1.207,1.087,1.159,1.141,1.558,1.569,1.24,1.149
9/14/2020 20:40,1.311,1.25,1.115,1.158,1.14,1.557,1.566,1.239,1.149
9/14/2020 20:50,1.362,1.292,1.137,1.159,1.141,1.557,1.569,1.24,1.149
9/14/2020 21:00,1.398,1.331,1.154,1.16,1.307,1.556,1.566,1.241,1.149
9/14/2020 21:10,1.422,1.358,1.176,1.159,1.414,1.558,1.57,1.242,1.149
9/14/2020 21:20,1.442,1.386,1.196,1.16,1.44,1.556,1.568,1.239,1.149
9/14/2020 21:30,1.46,1.406,1.214,1.162,1.462,1.559,1.569,1.242,1.149
9/14/2020 21:40,1.459,1.421,1.234,1.168,1.484,1.558,1.571,1.244,1.149
9/14/2020 21:50,1.45,1.419,1.25,1.177,1.5,1.558,1.568,1.246,1.149
9/14/2020 22:00,1.438,1.41,1.264,1.196,1.509,1.557,1.571,1.42,1.149
9/14/2020 22:10,1.4,1.394,1.275,1.238,1.508,1.559,1.57,1.416,1.149
9/14/2020 22:20,1.365,1.357,1.287,1.297,1.498,1.558,1.569,1.408,1.149
9/14/2020 22:30,1.317,1.32,1.294,1.314,1.482,1.557,1.569,1.403,1.149
9/14/2020 22:40,1.265,1.272,1.299,1.322,1.46,1.56,1.572,1.403,1.149
9/14/2020 22:50,1.189,1.197,1.296,1.32,1.425,1.557,1.569,1.401,1.149
9/14/2020 23:00,1.114,1.125,1.289,1.312,1.383,1.558,1.57,1.4,1.149
9/14/2020 23:10,1.042,1.034,1.28,1.303,1.37,1.559,1.57,1.398,1.149
9/14/2020 23:20,0.952,0.94,1.27,1.296,1.366,1.558,1.569,1.395,1.149
9/14/2020 23:30,0.867,0.858,1.261,1.294,1.364,1.557,1.572,1.395,1.149
9/14/2020 23:40,0.787,0.765,1.25,1.289,1.359,1.559,1.57,1.392,1.149
9/14/2020 23:50,0.693,0.673,1.239,1.283,1.359,1.559,1.569,1.386,1.149
9/15/2020 0:00,0.6,0.585,1.231,1.279,1.355,1.558,1.57,1.381,1.149
9/15/2020 0:10,0.518,0.503,1.222,1.275,1.353,1.558,1.571,1.376,1.149
9/15/2020 0:20,0.424,0.403,1.212,1.271,1.35,1.558,1.57,1.371,1.149
9/15/2020 0:30,0.339,0.322,1.205,1.272,1.349,1.56,1.573,1.367,1.149
9/15/2020 0:40,0.238,0.223,1.196,1.269,1.343,1.559,1.57,1.36,1.149
9/15/2020 0:50,0.157,0.138,1.188,1.268,1.343,1.558,1.572,1.356,1.149
9/15/2020 1:00,0.064,0.047,1.18,1.266,1.341,1.56,1.572,1.352,1.149
9/15/2020 1:10,0.028,-0.043,1.169,1.26,1.335,1.556,1.57,1.346,1.149
9/15/2020 1:20,0.03,-0.121,1.163,1.257,1.332,1.559,1.571,1.343,1.149
9/15/2020 1:30,0.032,-0.2,1.156,1.255,1.332,1.56,1.574,1.343,1.149
9/15/2020 1:40,0.031,-0.274,1.148,1.252,1.327,1.558,1.573,1.34,1.149
9/15/2020 1:50,0.032,-0.339,1.14,1.25,1.323,1.559,1.572,1.339,1.149
9/15/2020 2:00,0.032,-0.39,1.13,1.249,1.319,1.558,1.573,1.337,1.149
9/15/2020 2:10,0.03,-0.412,1.122,1.247,1.315,1.559,1.572,1.336,1.149
9/15/2020 2:20,0.031,-0.425,1.115,1.245,1.311,1.559,1.573,1.334,1.149
9/15/2020 2:30,0.031,-0.433,1.109,1.247,1.309,1.56,1.576,1.333,1.149
9/15/2020 2:40,0.031,-0.443,1.103,1.246,1.305,1.56,1.575,1.333,1.149
9/15/2020 2:50,0.03,-0.457,1.096,1.241,1.299,1.558,1.573,1.329,1.149
9/15/2020 3:00,0.031,-0.467,1.095,1.243,1.295,1.56,1.572,1.33,1.149
9/15/2020 3:10,0.029,-0.48,1.094,1.242,1.292,1.56,1.572,1.329,1.149
9/15/2020 3:20,0.03,-0.493,1.092,1.243,1.289,1.559,1.574,1.327,1.149
9/15/2020 3:30,0.03,-0.505,1.089,1.239,1.287,1.56,1.572,1.327,1.149
9/15/2020 3:40,0.032,-0.511,1.09,1.241,1.284,1.562,1.575,1.328,1.149
9/15/2020 3:50,0.028,-0.521,1.089,1.239,1.28,1.558,1.572,1.325,1.149
9/15/2020 4:00,0.03,-0.525,1.087,1.238,1.276,1.559,1.571,1.324,1.149
9/15/2020 4:10,0.031,-0.529,1.089,1.238,1.273,1.561,1.573,1.323,1.149
9/15/2020 4:20,0.03,-0.532,1.088,1.238,1.271,1.56,1.573,1.323,1.149
9/15/2020 4:30,0.03,-0.536,1.087,1.236,1.269,1.561,1.574,1.322,1.149
9/15/2020 4:40,0.031,-0.539,1.088,1.237,1.267,1.56,1.575,1.322,1.149
9/15/2020 4:50,0.029,-0.541,1.087,1.236,1.264,1.56,1.574,1.321,1.149
9/15/2020 5:00,0.028,-0.544,1.086,1.233,1.261,1.56,1.573,1.319,1.149
9/15/2020 5:10,0.028,-0.546,1.085,1.233,1.256,1.558,1.573,1.318,1.149
9/15/2020 5:20,0.029,-0.549,1.084,1.233,1.256,1.558,1.573,1.318,1.149
9/15/2020 5:30,0.027,-0.551,1.084,1.232,1.254,1.559,1.572,1.317,1.149
9/15/2020 5:40,0.03,-0.555,1.084,1.231,1.253,1.558,1.571,1.316,1.149
9/15/2020 5:50,0.029,-0.554,1.084,1.23,1.25,1.558,1.573,1.317,1.149
9/15/2020 6:00,0.028,-0.557,1.083,1.229,1.248,1.557,1.572,1.314,1.149
9/15/2020 6:10,0.029,-0.558,1.083,1.231,1.246,1.557,1.573,1.314,1.149
9/15/2020 6:20,0.028,-0.561,1.083,1.23,1.241,1.558,1.57,1.315,1.149
9/15/2020 6:30,0.029,-0.56,1.084,1.229,1.24,1.558,1.571,1.314,1.149
9/15/2020 6:40,0.029,-0.563,1.082,1.228,1.238,1.558,1.571,1.313,1.149
9/15/2020 6:50,0.029,-0.565,1.082,1.226,1.236,1.558,1.571,1.311,1.149
9/15/2020 7:00,0.029,-0.552,1.08,1.225,1.233,1.557,1.57,1.31,1.149
9/15/2020 7:10,0.026,-0.424,1.08,1.224,1.231,1.556,1.571,1.309,1.149
9/15/2020 7:20,0.028,-0.293,1.081,1.224,1.229,1.557,1.57,1.31,1.149
9/15/2020 7:30,0.027,-0.172,1.08,1.224,1.227,1.557,1.57,1.308,1.149
9/15/2020 7:40,0.028,-0.043,1.08,1.222,1.223,1.555,1.569,1.308,1.149
9/15/2020 7:50,0.123,0.089,1.079,1.222,1.223,1.555,1.569,1.306,1.149
9/15/2020 8:00,0.267,0.234,1.077,1.221,1.22,1.556,1.569,1.306,1.149
9/15/2020 8:10,0.417,0.384,1.078,1.22,1.22,1.554,1.568,1.305,1.149
9/15/2020 8:20,0.554,0.518,1.079,1.22,1.216,1.554,1.566,1.304,1.149
9/15/2020 8:30,0.675,0.632,1.077,1.217,1.213,1.552,1.566,1.303,1.149
9/15/2020 8:40,0.809,0.774,1.076,1.215,1.212,1.552,1.563,1.301,1.149
9/15/2020 8:50,0.894,0.855,1.073,1.214,1.209,1.551,1.563,1.3,1.149
9/15/2020 9:00,0.989,0.95,1.074,1.212,1.209,1.549,1.561,1.298,1.149
9/15/2020 9:10,1.074,1.037,1.077,1.213,1.21,1.551,1.564,1.301,1.149
9/15/2020 9:20,1.127,1.086,1.074,1.21,1.21,1.547,1.56,1.296,1.149
9/15/2020 9:30,1.177,1.131,1.08,1.211,1.213,1.548,1.561,1.297,1.149
