Date.Time,RUN1_GW,RUN1_Pool,RUN2_GW,RUN2_Pool,Ditch1_GW,Ditch2_GW,NAC1_GW,NAC2_GW,Creek1,Creek2
9/14/2020 3:30,0.959,0.852,1.35,1.332,0.945,0.949,1.184,1.067,-0.18,-0.146
9/14/2020 3:40,0.959,0.851,1.351,1.33,0.943,0.947,1.182,1.067,-0.178,-0.144
9/14/2020 3:50,0.958,0.849,1.348,1.33,0.94,0.944,1.181,1.065,-0.18,-0.148
9/14/2020 4:00,0.958,0.85,1.349,1.329,0.94,0.943,1.181,1.064,-0.179,-0.148
9/14/2020 4:10,0.958,0.848,1.347,1.329,0.937,0.939,1.179,1.064,-0.18,-0.148
9/14/2020 4:20,0.957,0.849,1.347,1.327,0.934,0.938,1.181,1.062,-0.181,-0.149
9/14/2020 4:30,0.961,0.852,1.35,1.332,0.935,0.939,1.183,1.064,-0.178,-0.146
9/14/2020 4:40,0.959,0.852,1.351,1.332,0.934,0.936,1.183,1.066,-0.178,-0.144
9/14/2020 4:50,0.957,0.849,1.351,1.331,0.933,0.937,1.182,1.065,-0.179,-0.147
9/14/2020 5:00,0.957,0.849,1.349,1.329,0.929,0.933,1.183,1.065,-0.179,-0.145
9/14/2020 5:10,0.959,0.849,1.35,1.33,0.93,0.934,1.182,1.065,-0.179,-0.145
9/14/2020 5:20,0.961,0.849,1.351,1.329,0.926,0.932,1.182,1.067,-0.177,-0.143
9/14/2020 5:30,0.959,0.849,1.35,1.331,0.926,0.93,1.184,1.067,-0.178,-0.145
9/14/2020 5:40,0.958,0.849,1.35,1.329,0.923,0.929,1.18,1.065,-0.179,-0.145
9/14/2020 5:50,0.959,0.848,1.35,1.331,0.922,0.925,1.18,1.065,-0.179,-0.147
9/14/2020 6:00,0.957,0.848,1.351,1.333,0.92,0.927,1.183,1.066,-0.179,-0.145
9/14/2020 6:10,0.959,0.85,1.35,1.333,0.92,0.925,1.182,1.066,-0.176,-0.145
9/14/2020 6:20,0.959,0.851,1.351,1.331,0.92,0.924,1.182,1.066,-0.179,-0.145
9/14/2020 6:30,0.959,0.85,1.351,1.331,0.918,0.922,1.183,1.066,-0.177,-0.145
9/14/2020 6:40,0.959,0.849,1.352,1.333,0.917,0.923,1.182,1.067,-0.177,-0.145
9/14/2020 6:50,0.956,0.846,1.349,1.33,0.912,0.918,1.18,1.064,-0.178,-0.148
9/14/2020 7:00,0.958,0.85,1.352,1.331,0.912,0.917,1.182,1.065,-0.061,-0.136
9/14/2020 7:10,0.956,0.848,1.348,1.33,0.907,0.914,1.179,1.063,0.044,-0.03
9/14/2020 7:20,0.956,0.848,1.35,1.329,0.91,0.914,1.181,1.063,0.168,0.1
9/14/2020 7:30,0.955,0.847,1.349,1.331,0.907,0.914,1.179,1.063,0.271,0.219
9/14/2020 7:40,0.955,0.85,1.349,1.329,0.906,0.911,1.179,1.064,0.388,0.326
9/14/2020 7:50,0.956,0.848,1.35,1.33,0.906,0.911,1.18,1.063,0.481,0.427
