Date.Time,Creek1,RUN1,NAC1,NAC1Pool,Ditch1,REF,Creek2,RUN2,RUN2Pool,NAC2,Ditch2,Creek3,RUN3,RUN3Pool,NAC3,Ditch3
7/12/2023 18:00,0.707,1.379,1.428,1.444,0.962,1.381,0.672,1.342,1.248,1.4,1.049,0.687,1.411,1.408,1.398,1.122
7/12/2023 18:10,0.832,1.379,1.427,1.443,0.96,1.38,0.792,1.342,1.168,1.397,1.05,0.809,1.411,1.406,1.396,1.122
7/12/2023 18:20,0.944,1.381,1.426,1.443,0.964,1.38,0.909,1.341,1.263,1.399,1.055,0.914,1.411,1.404,1.398,1.127
7/12/2023 18:30,1.042,1.383,1.431,1.446,0.974,1.384,1.012,1.345,1.23,1.4,1.062,1.012,1.413,1.407,1.4,1.137
7/12/2023 18:40,1.126,1.383,1.43,1.444,0.977,1.383,1.095,1.344,1.23,1.401,1.067,1.093,1.415,1.408,1.4,1.145
7/12/2023 18:50,1.197,1.381,1.429,1.442,1.212,1.382,1.165,1.342,1.227,1.398,1.07,1.166,1.412,1.407,1.396,1.154
7/12/2023 19:00,1.253,1.381,1.429,1.441,1.277,1.382,1.224,1.343,1.226,1.397,1.076,1.223,1.414,1.405,1.395,1.162
7/12/2023 19:10,1.306,1.381,1.43,1.441,1.334,1.381,1.273,1.343,1.229,1.399,1.265,1.274,1.415,1.407,1.397,1.168
7/12/2023 19:20,1.355,1.381,1.43,1.442,1.388,1.383,1.317,1.347,1.259,1.399,1.308,1.323,1.413,1.407,1.399,1.304
7/12/2023 19:30,1.397,1.38,1.43,1.443,1.427,1.383,1.354,1.344,1.293,1.398,1.351,1.361,1.413,1.407,1.396,1.349
7/12/2023 19:40,1.431,1.381,1.431,1.442,1.459,1.407,1.391,1.347,1.317,1.4,1.39,1.4,1.414,1.409,1.397,1.384
7/12/2023 19:50,1.462,1.402,1.431,1.444,1.489,1.451,1.423,1.347,1.345,1.399,1.424,1.433,1.413,1.408,1.399,1.422
7/12/2023 20:00,1.483,1.445,1.437,1.45,1.513,1.492,1.455,1.42,1.411,1.44,1.454,1.464,1.432,1.42,1.423,1.457
7/12/2023 20:10,1.5,1.479,1.481,1.493,1.528,1.52,1.482,1.471,1.454,1.478,1.483,1.491,1.466,1.47,1.452,1.493
7/12/2023 20:20,1.506,1.504,1.506,1.516,1.531,1.535,1.498,1.499,1.476,1.498,1.5,1.512,1.5,1.505,1.479,1.519
7/12/2023 20:30,1.504,1.518,1.516,1.527,1.526,1.545,1.507,1.514,1.49,1.512,1.514,1.527,1.529,1.532,1.518,1.545
7/12/2023 20:40,1.484,1.519,1.512,1.522,1.508,1.542,1.504,1.509,1.486,1.506,1.516,1.526,1.543,1.541,1.54,1.555
7/12/2023 20:50,1.461,1.508,1.499,1.509,1.479,1.529,1.488,1.497,1.469,1.494,1.501,1.513,1.54,1.534,1.55,1.548
7/12/2023 21:00,1.427,1.488,1.484,1.492,1.444,1.502,1.457,1.476,1.446,1.47,1.477,1.488,1.523,1.518,1.544,1.53
7/12/2023 21:10,1.38,1.463,1.466,1.477,1.396,1.474,1.424,1.45,1.421,1.448,1.448,1.456,1.502,1.498,1.528,1.507
7/12/2023 21:20,1.327,1.436,1.455,1.466,1.344,1.446,1.383,1.425,1.394,1.429,1.412,1.419,1.475,1.475,1.507,1.477
7/12/2023 21:30,1.264,1.416,1.451,1.462,1.284,1.426,1.334,1.407,1.372,1.425,1.371,1.381,1.454,1.454,1.484,1.444
7/12/2023 21:40,1.197,1.404,1.447,1.459,1.223,1.415,1.274,1.393,1.359,1.422,1.323,1.329,1.439,1.44,1.459,1.406
7/12/2023 21:50,1.114,1.401,1.444,1.454,1.158,1.405,1.19,1.384,1.347,1.42,1.26,1.263,1.431,1.428,1.437,1.361
7/12/2023 22:00,1.021,1.397,1.443,1.454,1.154,1.401,1.081,1.38,1.337,1.421,1.242,1.168,1.428,1.426,1.422,1.311
7/12/2023 22:10,0.938,1.397,1.442,1.454,1.154,1.403,0.966,1.38,1.329,1.42,1.241,1.041,1.425,1.428,1.416,1.292
7/12/2023 22:20,0.847,1.394,1.441,1.452,1.148,1.399,0.865,1.378,1.317,1.418,1.238,0.912,1.425,1.422,1.411,1.279
7/12/2023 22:30,0.76,1.396,1.441,1.451,1.143,1.4,0.782,1.381,1.305,1.419,1.236,0.831,1.426,1.422,1.409,1.276
7/12/2023 22:40,0.674,1.397,1.442,1.448,1.14,1.398,0.695,1.379,1.287,1.42,1.229,0.759,1.425,1.42,1.409,1.274
7/12/2023 22:50,0.591,1.395,1.44,1.45,1.138,1.401,0.604,1.378,1.274,1.419,1.222,0.654,1.428,1.42,1.409,1.27
7/12/2023 23:00,0.495,1.394,1.442,1.451,1.134,1.4,0.516,1.379,1.262,1.42,1.218,0.558,1.426,1.42,1.409,1.267
7/12/2023 23:10,0.407,1.395,1.439,1.449,1.131,1.399,0.422,1.378,1.255,1.419,1.214,0.467,1.423,1.419,1.408,1.264
7/12/2023 23:20,0.315,1.397,1.441,1.449,1.131,1.4,0.333,1.379,1.253,1.42,1.21,0.38,1.425,1.42,1.407,1.264
7/12/2023 23:30,0.229,1.397,1.439,1.446,1.125,1.399,0.244,1.378,1.246,1.418,1.206,0.293,1.425,1.42,1.408,1.258
7/12/2023 23:40,0.15,1.395,1.439,1.448,1.123,1.398,0.16,1.379,1.242,1.418,1.204,0.211,1.425,1.419,1.41,1.259
7/12/2023 23:50,0.064,1.394,1.441,1.446,1.123,1.399,0.082,1.377,1.24,1.418,1.203,0.124,1.424,1.418,1.409,1.255
7/13/2023 0:00,-0.009,1.398,1.444,1.449,1.125,1.4,0,1.379,1.241,1.42,1.2,0.047,1.426,1.42,1.411,1.254
7/13/2023 0:10,-0.092,1.397,1.441,1.447,1.123,1.399,-0.079,1.379,1.239,1.421,1.195,-0.026,1.424,1.418,1.41,1.251
7/13/2023 0:20,-0.143,1.396,1.443,1.449,1.123,1.398,-0.152,1.38,1.239,1.421,1.196,-0.095,1.426,1.418,1.41,1.25
7/13/2023 0:30,-0.141,1.396,1.443,1.45,1.118,1.4,-0.226,1.382,1.238,1.421,1.193,-0.094,1.425,1.417,1.412,1.248
7/13/2023 0:40,-0.143,1.393,1.438,1.445,1.116,1.397,-0.299,1.376,1.233,1.42,1.187,-0.097,1.422,1.415,1.408,1.245
7/13/2023 0:50,-0.14,1.396,1.443,1.448,1.117,1.402,-0.362,1.379,1.238,1.422,1.188,-0.093,1.427,1.42,1.41,1.248
7/13/2023 1:00,-0.143,1.395,1.441,1.447,1.113,1.398,-0.354,1.378,1.233,1.422,1.183,-0.093,1.426,1.417,1.41,1.243
7/13/2023 1:10,-0.14,1.397,1.445,1.448,1.114,1.4,-0.355,1.378,1.234,1.423,1.181,-0.095,1.425,1.418,1.411,1.24
7/13/2023 1:20,-0.143,1.396,1.441,1.449,1.112,1.4,-0.353,1.377,1.232,1.422,1.177,-0.095,1.425,1.419,1.41,1.237
7/13/2023 1:30,-0.14,1.396,1.445,1.45,1.112,1.402,-0.353,1.379,1.235,1.422,1.177,-0.091,1.427,1.419,1.413,1.238
7/13/2023 1:40,-0.14,1.395,1.442,1.448,1.107,1.401,-0.356,1.375,1.23,1.421,1.173,-0.095,1.424,1.416,1.41,1.234
7/13/2023 1:50,-0.142,1.395,1.443,1.448,1.106,1.401,-0.354,1.375,1.231,1.421,1.172,-0.095,1.425,1.417,1.409,1.234
7/13/2023 2:00,-0.14,1.396,1.443,1.45,1.106,1.402,-0.352,1.378,1.233,1.423,1.171,-0.092,1.428,1.417,1.409,1.235
7/13/2023 2:10,-0.141,1.396,1.444,1.448,1.103,1.401,-0.356,1.377,1.231,1.42,1.168,-0.094,1.426,1.415,1.41,1.233
7/13/2023 2:20,-0.141,1.395,1.442,1.446,1.099,1.397,-0.358,1.374,1.231,1.42,1.165,-0.096,1.426,1.416,1.408,1.229
7/13/2023 2:30,-0.141,1.395,1.444,1.448,1.098,1.401,-0.357,1.376,1.233,1.42,1.164,-0.096,1.426,1.418,1.408,1.228
7/13/2023 2:40,-0.141,1.395,1.441,1.446,1.098,1.399,-0.356,1.376,1.231,1.421,1.161,-0.095,1.423,1.417,1.409,1.226
7/13/2023 2:50,-0.143,1.393,1.44,1.446,1.094,1.399,-0.357,1.371,1.227,1.418,1.158,-0.099,1.42,1.415,1.409,1.222
7/13/2023 3:00,-0.142,1.395,1.442,1.446,1.093,1.4,-0.356,1.373,1.228,1.42,1.156,-0.096,1.422,1.418,1.409,1.221
7/13/2023 3:10,-0.143,1.396,1.441,1.446,1.091,1.402,-0.355,1.374,1.228,1.42,1.154,-0.094,1.424,1.416,1.41,1.221
7/13/2023 3:20,-0.142,1.395,1.44,1.448,1.088,1.399,-0.356,1.372,1.229,1.419,1.154,-0.096,1.423,1.416,1.408,1.222
7/13/2023 3:30,-0.143,1.395,1.439,1.446,1.087,1.399,-0.355,1.373,1.227,1.419,1.151,-0.096,1.425,1.417,1.409,1.219
7/13/2023 3:40,-0.141,1.393,1.443,1.446,1.086,1.399,-0.357,1.371,1.229,1.419,1.148,-0.097,1.425,1.417,1.409,1.217
7/13/2023 3:50,-0.141,1.394,1.442,1.445,1.082,1.398,-0.359,1.37,1.227,1.42,1.146,-0.097,1.426,1.416,1.409,1.216
7/13/2023 4:00,-0.141,1.397,1.445,1.446,1.081,1.4,-0.356,1.372,1.231,1.42,1.146,-0.096,1.426,1.417,1.411,1.214
7/13/2023 4:10,-0.143,1.392,1.441,1.443,1.076,1.398,-0.358,1.369,1.227,1.417,1.141,-0.098,1.422,1.416,1.409,1.211
7/13/2023 4:20,-0.141,1.394,1.442,1.445,1.077,1.397,-0.358,1.372,1.226,1.418,1.141,-0.097,1.423,1.416,1.409,1.213
7/13/2023 4:30,-0.142,1.394,1.439,1.443,1.074,1.398,-0.357,1.37,1.226,1.42,1.14,-0.098,1.423,1.415,1.408,1.21
7/13/2023 4:40,-0.141,1.393,1.441,1.445,1.074,1.397,-0.358,1.369,1.228,1.419,1.139,-0.097,1.423,1.417,1.408,1.211
7/13/2023 4:50,-0.14,1.396,1.441,1.444,1.069,1.399,-0.357,1.369,1.228,1.421,1.136,-0.097,1.425,1.413,1.409,1.21
7/13/2023 5:00,-0.14,1.395,1.442,1.445,1.07,1.4,-0.356,1.373,1.229,1.421,1.137,-0.095,1.426,1.416,1.409,1.21
7/13/2023 5:10,-0.14,1.395,1.442,1.447,1.068,1.403,-0.356,1.37,1.231,1.421,1.134,-0.095,1.424,1.417,1.411,1.209
7/13/2023 5:20,-0.14,1.395,1.442,1.444,1.067,1.4,-0.356,1.368,1.227,1.42,1.132,-0.095,1.424,1.416,1.409,1.207
7/13/2023 5:30,-0.141,1.394,1.441,1.443,1.062,1.397,-0.356,1.369,1.227,1.42,1.131,-0.097,1.423,1.415,1.411,1.205
7/13/2023 5:40,-0.14,1.395,1.44,1.446,1.062,1.4,-0.356,1.37,1.228,1.421,1.131,-0.097,1.423,1.418,1.411,1.204
7/13/2023 5:50,-0.142,1.395,1.441,1.442,1.06,1.399,-0.357,1.368,1.226,1.419,1.129,-0.097,1.422,1.414,1.409,1.204
