Date.Time,Creek,RUN1_GW,NAC1_GW,NAC1_Pool,Ditch1_GW,REF
7/12/2023 18:00,0.707,1.379,1.428,1.444,0.962,1.381
7/12/2023 18:10,0.832,1.379,1.427,1.443,0.96,1.38
7/12/2023 18:20,0.944,1.381,1.426,1.443,0.964,1.38
7/12/2023 18:30,1.042,1.383,1.431,1.446,0.974,1.384
7/12/2023 18:40,1.126,1.383,1.43,1.444,0.977,1.383
7/12/2023 18:50,1.197,1.381,1.429,1.442,1.212,1.382
7/12/2023 19:00,1.253,1.381,1.429,1.441,1.277,1.382
7/12/2023 19:10,1.306,1.381,1.43,1.441,1.334,1.381
7/12/2023 19:20,1.355,1.381,1.43,1.442,1.388,1.383
7/12/2023 19:30,1.397,1.38,1.43,1.443,1.427,1.383
7/12/2023 19:40,1.431,1.381,1.431,1.442,1.459,1.407
7/12/2023 19:50,1.462,1.402,1.431,1.444,1.489,1.451
7/12/2023 20:00,1.483,1.445,1.437,1.45,1.513,1.492
7/12/2023 20:10,1.5,1.479,1.481,1.493,1.528,1.52
7/12/2023 20:20,1.506,1.504,1.506,1.516,1.531,1.535
7/12/2023 20:30,1.504,1.518,1.516,1.527,1.526,1.545
7/12/2023 20:40,1.484,1.519,1.512,1.522,1.508,1.542
7/12/2023 20:50,1.461,1.508,1.499,1.509,1.479,1.529
7/12/2023 21:00,1.427,1.488,1.484,1.492,1.444,1.502
7/12/2023 21:10,1.38,1.463,1.466,1.477,1.396,1.474
7/12/2023 21:20,1.327,1.436,1.455,1.466,1.344,1.446
7/12/2023 21:30,1.264,1.416,1.451,1.462,1.284,1.426
7/12/2023 21:40,1.197,1.404,1.447,1.459,1.223,1.415
7/12/2023 21:50,1.114,1.401,1.444,1.454,1.158,1.405
7/12/2023 22:00,1.021,1.397,1.443,1.454,1.154,1.401
7/12/2023 22:10,0.938,1.397,1.442,1.454,1.154,1.403
7/12/2023 22:20,0.847,1.394,1.441,1.452,1.148,1.399
7/12/2023 22:30,0.76,1.396,1.441,1.451,1.143,1.4
7/12/2023 22:40,0.674,1.397,1.442,1.448,1.14,1.398
7/12/2023 22:50,0.591,1.395,1.44,1.45,1.138,1.401
7/12/2023 23:00,0.495,1.394,1.442,1.451,1.134,1.4
7/12/2023 23:10,0.407,1.395,1.439,1.449,1.131,1.399
7/12/2023 23:20,0.315,1.397,1.441,1.449,1.131,1.4
7/12/2023 23:30,0.229,1.397,1.439,1.446,1.125,1.399
7/12/2023 23:40,0.15,1.395,1.439,1.448,1.123,1.398
7/12/2023 23:50,0.064,1.394,1.441,1.446,1.123,1.399
7/13/2023 0:00,-0.009,1.398,1.444,1.449,1.125,1.4
7/13/2023 0:10,-0.092,1.397,1.441,1.447,1.123,1.399
7/13/2023 0:20,-0.143,1.396,1.443,1.449,1.123,1.398
7/13/2023 0:30,-0.141,1.396,1.443,1.45,1.118,1.4
7/13/2023 0:40,-0.143,1.393,1.438,1.445,1.116,1.397
7/13/2023 0:50,-0.14,1.396,1.443,1.448,1.117,1.402
7/13/2023 1:00,-0.143,1.395,1.441,1.447,1.113,1.398
7/13/2023 1:10,-0.14,1.397,1.445,1.448,1.114,1.4
7/13/2023 1:20,-0.143,1.396,1.441,1.449,1.112,1.4
7/13/2023 1:30,-0.14,1.396,1.445,1.45,1.112,1.402
7/13/2023 1:40,-0.14,1.395,1.442,1.448,1.107,1.401
7/13/2023 1:50,-0.142,1.395,1.443,1.448,1.106,1.401
7/13/2023 2:00,-0.14,1.396,1.443,1.45,1.106,1.402
7/13/2023 2:10,-0.141,1.396,1.444,1.448,1.103,1.401
7/13/2023 2:20,-0.141,1.395,1.442,1.446,1.099,1.397
7/13/2023 2:30,-0.141,1.395,1.444,1.448,1.098,1.401
7/13/2023 2:40,-0.141,1.395,1.441,1.446,1.098,1.399
