Date.Time,Creek,RUN2_GW,RUN2_Pool,NAC2_GW,Ditch2_GW
7/12/2023 18:00,0.672,1.342,1.248,1.4,1.049
7/12/2023 18:10,0.792,1.342,1.247,1.397,1.05
7/12/2023 18:20,0.909,1.341,1.247,1.399,1.055
7/12/2023 18:30,1.012,1.345,1.251,1.4,1.062
7/12/2023 18:40,1.095,1.344,1.251,1.401,1.067
7/12/2023 18:50,1.165,1.342,1.248,1.398,1.07
7/12/2023 19:00,1.224,1.343,1.247,1.397,1.076
7/12/2023 19:10,1.273,1.343,1.25,1.399,1.265
7/12/2023 19:20,1.317,1.347,1.28,1.399,1.308
7/12/2023 19:30,1.354,1.344,1.314,1.398,1.351
7/12/2023 19:40,1.391,1.347,1.338,1.4,1.39
7/12/2023 19:50,1.423,1.347,1.366,1.399,1.424
7/12/2023 20:00,1.455,1.42,1.432,1.44,1.454
7/12/2023 20:10,1.482,1.471,1.475,1.478,1.483
7/12/2023 20:20,1.498,1.499,1.497,1.498,1.5
7/12/2023 20:30,1.507,1.514,1.511,1.512,1.514
7/12/2023 20:40,1.504,1.509,1.507,1.506,1.516
7/12/2023 20:50,1.488,1.497,1.49,1.494,1.501
7/12/2023 21:00,1.457,1.476,1.467,1.47,1.477
7/12/2023 21:10,1.424,1.45,1.442,1.448,1.448
7/12/2023 21:20,1.383,1.425,1.415,1.429,1.412
7/12/2023 21:30,1.334,1.407,1.393,1.425,1.371
7/12/2023 21:40,1.274,1.393,1.38,1.422,1.323
7/12/2023 21:50,1.19,1.384,1.368,1.42,1.26
7/12/2023 22:00,1.081,1.38,1.358,1.421,1.242
7/12/2023 22:10,0.966,1.38,1.35,1.42,1.241
7/12/2023 22:20,0.865,1.378,1.338,1.418,1.238
7/12/2023 22:30,0.782,1.381,1.326,1.419,1.236
7/12/2023 22:40,0.695,1.379,1.308,1.42,1.229
7/12/2023 22:50,0.604,1.378,1.295,1.419,1.222
7/12/2023 23:00,0.516,1.379,1.283,1.42,1.218
7/12/2023 23:10,0.422,1.378,1.276,1.419,1.214
7/12/2023 23:20,0.333,1.379,1.274,1.42,1.21
7/12/2023 23:30,0.244,1.378,1.267,1.418,1.206
7/12/2023 23:40,0.16,1.379,1.263,1.418,1.204
7/12/2023 23:50,0.082,1.377,1.261,1.418,1.203
7/13/2023 0:00,0,1.379,1.262,1.42,1.2
7/13/2023 0:10,-0.079,1.379,1.26,1.421,1.195
7/13/2023 0:20,-0.152,1.38,1.26,1.421,1.196
7/13/2023 0:30,-0.226,1.382,1.259,1.421,1.193
7/13/2023 0:40,-0.299,1.376,1.254,1.42,1.187
7/13/2023 0:50,-0.362,1.379,1.259,1.422,1.188
7/13/2023 1:00,-0.354,1.378,1.254,1.422,1.183
7/13/2023 1:10,-0.355,1.378,1.255,1.423,1.181
7/13/2023 1:20,-0.353,1.377,1.253,1.422,1.177
7/13/2023 1:30,-0.353,1.379,1.256,1.422,1.177
7/13/2023 1:40,-0.356,1.375,1.251,1.421,1.173
7/13/2023 1:50,-0.354,1.375,1.252,1.421,1.172
7/13/2023 2:00,-0.352,1.378,1.254,1.423,1.171
7/13/2023 2:10,-0.356,1.377,1.252,1.42,1.168
7/13/2023 2:20,-0.358,1.374,1.252,1.42,1.165
7/13/2023 2:30,-0.357,1.376,1.254,1.42,1.164
7/13/2023 2:40,-0.356,1.376,1.252,1.421,1.161
7/13/2023 2:50,-0.357,1.371,1.248,1.418,1.158
7/13/2023 3:00,-0.356,1.373,1.249,1.42,1.156
7/13/2023 3:10,-0.355,1.374,1.249,1.42,1.154
7/13/2023 3:20,-0.356,1.372,1.25,1.419,1.154
7/13/2023 3:30,-0.355,1.373,1.248,1.419,1.151
7/13/2023 3:40,-0.357,1.371,1.25,1.419,1.148
7/13/2023 3:50,-0.359,1.37,1.248,1.42,1.146
7/13/2023 4:00,-0.356,1.372,1.252,1.42,1.146
7/13/2023 4:10,-0.358,1.369,1.248,1.417,1.141
7/13/2023 4:20,-0.358,1.372,1.247,1.418,1.141
7/13/2023 4:30,-0.357,1.37,1.247,1.42,1.14
7/13/2023 4:40,-0.358,1.369,1.249,1.419,1.139
7/13/2023 4:50,-0.357,1.369,1.249,1.421,1.136
7/13/2023 5:00,-0.356,1.373,1.25,1.421,1.137
7/13/2023 5:10,-0.356,1.37,1.252,1.421,1.134
7/13/2023 5:20,-0.356,1.368,1.248,1.42,1.132
7/13/2023 5:30,-0.356,1.369,1.248,1.42,1.131
7/13/2023 5:40,-0.356,1.37,1.249,1.421,1.131
7/13/2023 5:50,-0.357,1.368,1.247,1.419,1.129
7/13/2023 6:00,-0.318,1.366,1.248,1.419,1.128
7/13/2023 6:10,-0.179,1.367,1.246,1.418,1.126
7/13/2023 6:20,-0.04,1.369,1.251,1.42,1.126
7/13/2023 6:30,0.104,1.367,1.249,1.418,1.123
7/13/2023 6:40,0.248,1.364,1.25,1.418,1.123
7/13/2023 6:50,0.376,1.364,1.245,1.417,1.119
7/13/2023 7:00,0.501,1.363,1.247,1.416,1.119
7/13/2023 7:10,0.616,1.366,1.247,1.419,1.12
7/13/2023 7:20,0.719,1.362,1.246,1.417,1.12
7/13/2023 7:30,0.812,1.364,1.249,1.418,1.123
7/13/2023 7:40,0.888,1.361,1.245,1.417,1.123
7/13/2023 7:50,0.954,1.362,1.248,1.415,1.125
7/13/2023 8:00,1.007,1.362,1.244,1.415,1.127
7/13/2023 8:10,1.048,1.361,1.247,1.415,1.132
7/13/2023 8:20,1.084,1.359,1.246,1.412,1.132
7/13/2023 8:30,1.121,1.359,1.246,1.414,1.135
7/13/2023 8:40,1.143,1.358,1.246,1.414,1.138
7/13/2023 8:50,1.146,1.358,1.242,1.414,1.139
7/13/2023 9:00,1.132,1.356,1.245,1.415,1.14
7/13/2023 9:10,1.116,1.355,1.246,1.414,1.138
7/13/2023 9:20,1.085,1.356,1.243,1.41,1.136
7/13/2023 9:30,1.048,1.357,1.245,1.413,1.134
7/13/2023 9:40,1.007,1.354,1.246,1.412,1.128
7/13/2023 9:50,0.963,1.354,1.243,1.411,1.125
7/13/2023 10:00,0.914,1.354,1.244,1.412,1.12
7/13/2023 10:10,0.859,1.35,1.242,1.407,1.114
7/13/2023 10:20,0.808,1.352,1.246,1.411,1.111
7/13/2023 10:30,0.751,1.351,1.244,1.411,1.108
7/13/2023 10:40,0.694,1.35,1.242,1.411,1.102
7/13/2023 10:50,0.64,1.35,1.246,1.41,1.1
7/13/2023 11:00,0.573,1.35,1.244,1.407,1.093
7/13/2023 11:10,0.507,1.349,1.245,1.408,1.093
7/13/2023 11:20,0.441,1.351,1.247,1.409,1.092
7/13/2023 11:30,0.363,1.351,1.246,1.41,1.089
7/13/2023 11:40,0.285,1.349,1.245,1.41,1.084
7/13/2023 11:50,0.209,1.35,1.246,1.408,1.083
7/13/2023 12:00,0.13,1.347,1.248,1.407,1.08
7/13/2023 12:10,0.056,1.347,1.249,1.408,1.079
7/13/2023 12:20,-0.016,1.344,1.251,1.406,1.076
7/13/2023 12:30,-0.081,1.342,1.25,1.406,1.074
7/13/2023 12:40,-0.151,1.344,1.249,1.406,1.073
7/13/2023 12:50,-0.213,1.344,1.251,1.403,1.068
7/13/2023 13:00,-0.278,1.346,1.25,1.406,1.066
7/13/2023 13:10,-0.337,1.345,1.251,1.405,1.065
7/13/2023 13:20,-0.364,1.347,1.252,1.406,1.066
7/13/2023 13:30,-0.361,1.342,1.249,1.405,1.061
7/13/2023 13:40,-0.359,1.344,1.249,1.404,1.06
7/13/2023 13:50,-0.358,1.343,1.25,1.405,1.06
7/13/2023 14:00,-0.358,1.344,1.251,1.404,1.057
7/13/2023 14:10,-0.359,1.342,1.25,1.401,1.056
7/13/2023 14:20,-0.356,1.344,1.252,1.405,1.056
