Date.Time,Creek,Runnel1,Runnel2,Runnel3,Runnel4,Ditch,Reference,NAC
10/21/2021 0:00,1.266,1.398,1.381,1.372,1.384,1.233,1.392,1.391
10/21/2021 0:10,1.311,1.398,1.382,1.373,1.383,1.246,1.392,1.395
10/21/2021 0:20,1.343,1.399,1.382,1.374,1.386,1.294,1.395,1.396
10/21/2021 0:30,1.367,1.399,1.383,1.373,1.384,1.324,1.395,1.395
10/21/2021 0:40,1.383,1.397,1.381,1.372,1.384,1.346,1.392,1.393
10/21/2021 0:50,1.396,1.398,1.384,1.374,1.385,1.365,1.393,1.394
10/21/2021 1:00,1.405,1.399,1.383,1.373,1.386,1.381,1.394,1.395
10/21/2021 1:10,1.411,1.399,1.381,1.376,1.386,1.394,1.399,1.395
10/21/2021 1:20,1.409,1.399,1.38,1.374,1.384,1.403,1.402,1.395
10/21/2021 1:30,1.396,1.399,1.382,1.374,1.386,1.407,1.396,1.392
10/21/2021 1:40,1.376,1.399,1.382,1.374,1.384,1.4,1.395,1.396
10/21/2021 1:50,1.351,1.402,1.382,1.375,1.386,1.388,1.395,1.395
10/21/2021 2:00,1.316,1.402,1.382,1.373,1.383,1.37,1.393,1.393
10/21/2021 2:10,1.278,1.404,1.383,1.376,1.385,1.353,1.397,1.397
10/21/2021 2:20,1.223,1.403,1.383,1.376,1.386,1.325,1.395,1.396
10/21/2021 2:30,1.157,1.403,1.384,1.376,1.386,1.297,1.397,1.396
10/21/2021 2:40,1.071,1.403,1.385,1.376,1.384,1.283,1.394,1.395
10/21/2021 2:50,0.985,1.402,1.385,1.375,1.385,1.278,1.393,1.394
10/21/2021 3:00,0.895,1.403,1.384,1.375,1.384,1.278,1.392,1.396
10/21/2021 3:10,0.796,1.404,1.387,1.376,1.386,1.28,1.396,1.397
10/21/2021 3:20,0.691,1.405,1.388,1.379,1.387,1.281,1.397,1.398
10/21/2021 3:30,0.577,1.404,1.389,1.378,1.388,1.281,1.396,1.398
10/21/2021 3:40,0.465,1.405,1.387,1.377,1.389,1.28,1.395,1.399
10/21/2021 3:50,0.36,1.407,1.389,1.376,1.39,1.279,1.395,1.398
10/21/2021 4:00,0.262,1.406,1.389,1.379,1.389,1.282,1.397,1.4
10/21/2021 4:10,0.171,1.404,1.39,1.379,1.391,1.279,1.397,1.399
10/21/2021 4:20,0.083,1.404,1.389,1.377,1.387,1.28,1.397,1.398
10/21/2021 4:30,0.004,1.404,1.388,1.377,1.389,1.277,1.397,1.397
10/21/2021 4:40,-0.072,1.401,1.387,1.376,1.388,1.276,1.396,1.397
10/21/2021 4:50,-0.135,1.405,1.389,1.38,1.39,1.275,1.398,1.398
10/21/2021 5:00,-0.201,1.404,1.388,1.377,1.389,1.272,1.397,1.4
10/21/2021 5:10,-0.259,1.402,1.388,1.379,1.391,1.271,1.396,1.4
10/21/2021 5:20,-0.309,1.404,1.386,1.377,1.39,1.265,1.395,1.398
10/21/2021 5:30,-0.344,1.405,1.388,1.377,1.39,1.264,1.397,1.401
10/21/2021 5:40,-0.362,1.403,1.388,1.377,1.391,1.261,1.397,1.398
10/21/2021 5:50,-0.372,1.403,1.387,1.378,1.39,1.259,1.396,1.399
10/21/2021 6:00,-0.376,1.404,1.388,1.378,1.392,1.256,1.398,1.401
10/21/2021 6:10,-0.38,1.401,1.386,1.378,1.389,1.251,1.395,1.399
10/21/2021 6:20,-0.381,1.405,1.388,1.379,1.391,1.252,1.397,1.4
10/21/2021 6:30,-0.386,1.403,1.387,1.376,1.39,1.247,1.396,1.399
10/21/2021 6:40,-0.385,1.405,1.389,1.379,1.391,1.246,1.397,1.4
10/21/2021 6:50,-0.388,1.402,1.388,1.375,1.388,1.24,1.395,1.398
10/21/2021 7:00,-0.39,1.403,1.386,1.377,1.389,1.238,1.393,1.399
10/21/2021 7:10,-0.392,1.403,1.387,1.379,1.388,1.237,1.394,1.4
10/21/2021 7:20,-0.392,1.403,1.387,1.379,1.389,1.235,1.396,1.399
10/21/2021 7:30,-0.393,1.403,1.387,1.377,1.389,1.233,1.394,1.398
10/21/2021 7:40,-0.394,1.404,1.386,1.377,1.387,1.231,1.392,1.396
10/21/2021 7:50,-0.396,1.402,1.385,1.376,1.388,1.228,1.392,1.394
10/21/2021 8:00,-0.398,1.4,1.384,1.375,1.387,1.227,1.393,1.397
10/21/2021 8:10,-0.399,1.4,1.383,1.373,1.384,1.223,1.389,1.395
10/21/2021 8:20,-0.401,1.399,1.381,1.372,1.382,1.22,1.387,1.393
10/21/2021 8:30,-0.4,1.399,1.383,1.372,1.383,1.22,1.387,1.395
10/21/2021 8:40,-0.403,1.397,1.38,1.368,1.381,1.214,1.385,1.39
10/21/2021 8:50,-0.403,1.396,1.38,1.371,1.379,1.214,1.386,1.393
10/21/2021 9:00,-0.402,1.396,1.38,1.371,1.379,1.212,1.386,1.393
10/21/2021 9:10,-0.404,1.396,1.378,1.367,1.377,1.209,1.384,1.391
10/21/2021 9:20,-0.406,1.393,1.378,1.369,1.378,1.207,1.384,1.389
10/21/2021 9:30,-0.406,1.395,1.375,1.366,1.377,1.204,1.381,1.39
10/21/2021 9:40,-0.406,1.394,1.378,1.367,1.38,1.204,1.382,1.389
10/21/2021 9:50,-0.398,1.393,1.375,1.366,1.377,1.203,1.378,1.387
10/21/2021 10:00,-0.265,1.394,1.375,1.366,1.376,1.2,1.378,1.389
10/21/2021 10:10,-0.116,1.391,1.374,1.365,1.376,1.197,1.377,1.386
