Date.Time,Creek,RUN1,RUN2,RUN3,RUN4,REF,NAC,Ditch
6/7/2023 0:00,0.466,1.38,1.451,1.382,1.418,1.428,1.443,1.318
6/7/2023 0:10,0.63,1.379,1.451,1.383,1.419,1.427,1.443,1.319
6/7/2023 0:20,0.78,1.382,1.455,1.382,1.418,1.428,1.445,1.319
6/7/2023 0:30,0.917,1.383,1.455,1.384,1.42,1.429,1.445,1.322
6/7/2023 0:40,1.052,1.382,1.455,1.384,1.418,1.428,1.444,1.326
6/7/2023 0:50,1.172,1.381,1.452,1.381,1.419,1.427,1.443,1.336
6/7/2023 1:00,1.27,1.384,1.451,1.38,1.417,1.427,1.443,1.348
6/7/2023 1:10,1.334,1.379,1.449,1.38,1.417,1.427,1.443,1.357
6/7/2023 1:20,1.38,1.379,1.451,1.381,1.417,1.428,1.442,1.41
6/7/2023 1:30,1.413,1.381,1.453,1.381,1.417,1.427,1.443,1.442
6/7/2023 1:40,1.442,1.379,1.451,1.38,1.417,1.426,1.441,1.468
6/7/2023 1:50,1.465,1.381,1.453,1.388,1.419,1.453,1.443,1.491
6/7/2023 2:00,1.49,1.382,1.452,1.399,1.42,1.472,1.445,1.516
6/7/2023 2:10,1.507,1.387,1.454,1.409,1.419,1.492,1.455,1.534
6/7/2023 2:20,1.528,1.399,1.473,1.417,1.419,1.511,1.473,1.554
6/7/2023 2:30,1.543,1.408,1.49,1.421,1.482,1.529,1.495,1.571
6/7/2023 2:40,1.569,1.424,1.518,1.444,1.536,1.551,1.517,1.591
6/7/2023 2:50,1.6,1.436,1.543,1.482,1.577,1.577,1.546,1.612
6/7/2023 3:00,1.635,1.459,1.573,1.501,1.619,1.61,1.599,1.637
6/7/2023 3:10,1.671,1.479,1.628,1.526,1.671,1.644,1.673,1.674
6/7/2023 3:20,1.707,1.511,1.692,1.57,1.722,1.685,1.735,1.72
6/7/2023 3:30,1.737,1.57,1.744,1.689,1.769,1.719,1.777,1.763
6/7/2023 3:40,1.761,1.637,1.78,1.793,1.801,1.748,1.806,1.8
6/7/2023 3:50,1.773,1.709,1.818,1.834,1.814,1.773,1.814,1.833
6/7/2023 4:00,1.768,1.773,1.842,1.84,1.801,1.775,1.804,1.847
6/7/2023 4:10,1.752,1.791,1.842,1.826,1.78,1.761,1.782,1.841
6/7/2023 4:20,1.736,1.782,1.832,1.807,1.757,1.748,1.763,1.828
6/7/2023 4:30,1.717,1.768,1.816,1.791,1.737,1.729,1.744,1.811
6/7/2023 4:40,1.696,1.753,1.801,1.775,1.722,1.713,1.726,1.798
6/7/2023 4:50,1.674,1.735,1.782,1.756,1.7,1.689,1.706,1.777
6/7/2023 5:00,1.651,1.72,1.765,1.739,1.683,1.67,1.685,1.76
6/7/2023 5:10,1.63,1.706,1.752,1.725,1.667,1.65,1.671,1.744
6/7/2023 5:20,1.603,1.691,1.735,1.707,1.651,1.629,1.653,1.724
6/7/2023 5:30,1.583,1.681,1.725,1.698,1.64,1.613,1.642,1.712
6/7/2023 5:40,1.553,1.67,1.711,1.682,1.625,1.59,1.623,1.694
6/7/2023 5:50,1.522,1.656,1.695,1.668,1.609,1.565,1.605,1.674
6/7/2023 6:00,1.493,1.645,1.684,1.657,1.6,1.543,1.588,1.657
