Date.Time,SC_Creek,RUN1,RUN2,SC_REF,SC_Ditch,NNC_Creek,NNC_REF,NNC_Ditch
6/7/2023 0:00,0.52,1.396,1.393,1.285,1.336,0.51,1.498,1.341
6/7/2023 0:10,0.688,1.396,1.395,1.286,1.337,0.676,1.498,1.341
6/7/2023 0:20,0.848,1.395,1.395,1.287,1.338,0.831,1.499,1.339
6/7/2023 0:30,0.996,1.398,1.398,1.293,1.34,0.981,1.502,1.343
6/7/2023 0:40,1.135,1.395,1.395,1.293,1.337,1.118,1.498,1.343
6/7/2023 0:50,1.249,1.394,1.394,1.296,1.336,1.239,1.498,1.354
6/7/2023 1:00,1.332,1.396,1.394,1.302,1.336,1.343,1.496,1.365
6/7/2023 1:10,1.389,1.394,1.394,1.332,1.348,1.417,1.494,1.372
6/7/2023 1:20,1.425,1.394,1.395,1.377,1.39,1.467,1.497,1.38
6/7/2023 1:30,1.454,1.395,1.424,1.398,1.418,1.504,1.496,1.448
6/7/2023 1:40,1.477,1.411,1.453,1.426,1.439,1.533,1.496,1.485
6/7/2023 1:50,1.5,1.454,1.479,1.447,1.462,1.56,1.528,1.509
6/7/2023 2:00,1.521,1.479,1.499,1.465,1.481,1.585,1.556,1.529
6/7/2023 2:10,1.539,1.505,1.519,1.481,1.499,1.611,1.587,1.549
6/7/2023 2:20,1.559,1.527,1.538,1.499,1.515,1.634,1.612,1.569
6/7/2023 2:30,1.576,1.549,1.557,1.513,1.529,1.659,1.634,1.585
6/7/2023 2:40,1.597,1.574,1.578,1.531,1.55,1.689,1.66,1.604
6/7/2023 2:50,1.616,1.592,1.597,1.548,1.565,1.715,1.685,1.622
6/7/2023 3:00,1.635,1.614,1.615,1.564,1.584,1.738,1.712,1.64
6/7/2023 3:10,1.659,1.638,1.635,1.588,1.607,1.761,1.733,1.66
6/7/2023 3:20,1.687,1.67,1.662,1.617,1.632,1.777,1.753,1.68
6/7/2023 3:30,1.719,1.694,1.687,1.651,1.667,1.793,1.768,1.7
6/7/2023 3:40,1.746,1.715,1.713,1.689,1.699,1.805,1.782,1.722
6/7/2023 3:50,1.771,1.729,1.736,1.726,1.726,1.806,1.785,1.741
6/7/2023 4:00,1.784,1.733,1.751,1.755,1.747,1.802,1.787,1.761
6/7/2023 4:10,1.783,1.722,1.751,1.759,1.747,1.782,1.774,1.773
6/7/2023 4:20,1.768,1.704,1.74,1.748,1.733,1.755,1.752,1.782
6/7/2023 4:30,1.751,1.687,1.725,1.732,1.717,1.718,1.722,1.782
6/7/2023 4:40,1.732,1.669,1.707,1.715,1.699,1.687,1.696,1.771
6/7/2023 4:50,1.709,1.644,1.685,1.693,1.678,1.646,1.662,1.75
6/7/2023 5:00,1.69,1.62,1.665,1.672,1.657,1.611,1.631,1.734
6/7/2023 5:10,1.667,1.599,1.643,1.657,1.636,1.569,1.601,1.715
6/7/2023 5:20,1.645,1.572,1.62,1.638,1.615,1.516,1.571,1.697
6/7/2023 5:30,1.623,1.552,1.599,1.625,1.596,1.462,1.551,1.684
6/7/2023 5:40,1.595,1.525,1.575,1.606,1.573,1.394,1.535,1.669
6/7/2023 5:50,1.563,1.5,1.548,1.584,1.546,1.317,1.526,1.65
6/7/2023 6:00,1.523,1.477,1.522,1.565,1.516,1.239,1.519,1.631
6/7/2023 6:10,1.479,1.457,1.496,1.54,1.484,1.15,1.518,1.61
6/7/2023 6:20,1.43,1.442,1.475,1.517,1.447,1.061,1.516,1.589
6/7/2023 6:30,1.356,1.433,1.461,1.484,1.409,0.968,1.516,1.563
6/7/2023 6:40,1.283,1.426,1.448,1.447,1.39,0.869,1.512,1.536
6/7/2023 6:50,1.202,1.424,1.441,1.411,1.385,0.768,1.513,1.511
