"","WLR","Mean_LT","SE_LT","Mean_HT","SE_HT","Mean_HHT","SE_HHT","Max_Tide"
"1","Ditch1",1.031,0.01,1.322,0.037,1.45925806451613,0.047149544011796,1.914
"2","Ditch2",1.082,0.01,1.328,0.034,1.4581935483871,0.044885814972097,1.9
"3","Ditch3",1.167,0.009,1.389,0.031,1.49877419354839,0.0416448556163457,1.914
"4","NAC1",1.427,0.002,1.501,0.018,1.544375,0.0294044978866795,1.914
"5","NAC1Pool",1.429,0.001,1.503,0.018,1.54741935483871,0.0300435445338623,1.914
"6","NAC2",1.387,0.005,1.468,0.02,1.52254838709677,0.0320733312562053,1.9
"7","NAC3",1.388,0.002,1.49,0.02,1.54570967741935,0.0318882185258007,1.914
"8","REF",1.326,0.007,1.434,0.023,1.502,0.0367393024441948,1.914
"9","RUN1",1.387,0.003,1.482,0.019,1.53574193548387,0.032018777009209,1.914
"10","RUN2",1.34,0.004,1.44,0.021,1.49938709677419,0.0351735383619823,1.9
"11","RUN2Pool",1.222,0.001,1.38,0.025,1.46154838709677,0.0383841039765855,1.879
"12","RUN3",1.406,0.001,1.497,0.019,1.54764516129032,0.0311391793590494,1.914
"13","RUN3Pool",1.404,0.001,1.496,0.019,1.54625806451613,0.0316188309123254,1.914
